x,infected,infected-25,infected-75,susceptible,susceptible-25,susceptible-75
1,0.001,0.001,0.001,0.999,0.999,0.999
2,0.001,0.001,0.001,0.999,0.999,0.999
3,0.007,0.005,0.00825,0.993,0.99175,0.995
4,0.0265,0.024,0.03,0.9735,0.97,0.976
5,0.044,0.041,0.06525,0.956,0.9347500000000001,0.959
6,0.097,0.087,0.14325,0.903,0.85675,0.913
7,0.1505,0.131,0.206,0.8494999999999999,0.794,0.869
8,0.165,0.14475,0.2145,0.835,0.7855000000000001,0.85525
9,0.396,0.356,0.46725,0.604,0.5327500000000001,0.644
10,0.6635,0.63175,0.7024999999999999,0.3365,0.2975,0.36824999999999997
11,0.7935000000000001,0.77275,0.8115,0.2065,0.1885,0.22725
12,0.833,0.824,0.8422499999999999,0.167,0.15775,0.176
13,0.799,0.7907500000000001,0.809,0.201,0.191,0.20925
14,0.745,0.73675,0.75425,0.255,0.24575,0.26325
15,0.855,0.848,0.865,0.145,0.135,0.152
16,0.8645,0.85775,0.871,0.1355,0.129,0.14225
17,0.8714999999999999,0.86575,0.87825,0.1285,0.12175,0.13425
18,0.862,0.856,0.87,0.138,0.13,0.144
19,0.82,0.81375,0.8302499999999999,0.18,0.16975,0.18625
20,0.768,0.758,0.778,0.232,0.222,0.242
21,0.868,0.861,0.873,0.132,0.127,0.139
22,0.8734999999999999,0.86775,0.88225,0.1265,0.11775,0.13225
23,0.876,0.86775,0.883,0.124,0.117,0.13225
24,0.868,0.858,0.878,0.132,0.122,0.142
25,0.8234999999999999,0.817,0.8302499999999999,0.1765,0.16975,0.183
26,0.772,0.762,0.781,0.228,0.219,0.238
27,0.867,0.86275,0.875,0.133,0.125,0.13725
28,0.874,0.86475,0.882,0.126,0.118,0.13525
29,0.876,0.87,0.884,0.124,0.116,0.13
30,0.868,0.86075,0.87525,0.132,0.12475,0.13925
31,0.823,0.81675,0.8325,0.177,0.1675,0.18325
32,0.774,0.766,0.783,0.226,0.217,0.234
33,0.865,0.86075,0.87325,0.135,0.12675,0.13925
34,0.874,0.86675,0.881,0.126,0.119,0.13325
35,0.88,0.872,0.88825,0.12,0.11175,0.128
36,0.8654999999999999,0.85875,0.873,0.1345,0.127,0.14125
37,0.82,0.813,0.833,0.18,0.167,0.187
38,0.7685,0.75675,0.778,0.2315,0.222,0.24325
39,0.865,0.855,0.874,0.135,0.126,0.145
40,0.8765000000000001,0.86875,0.884,0.1235,0.116,0.13125
41,0.8775,0.86975,0.886,0.1225,0.114,0.13025
42,0.8665,0.861,0.877,0.1335,0.123,0.139
43,0.827,0.81675,0.8342499999999999,0.173,0.16575,0.18325
44,0.773,0.76375,0.78325,0.227,0.21675,0.23625
45,0.863,0.857,0.871,0.137,0.129,0.143
46,0.87,0.865,0.87825,0.13,0.12175,0.135
47,0.8755,0.87075,0.884,0.1245,0.116,0.12925
48,0.8654999999999999,0.85875,0.87225,0.1345,0.12775,0.14125
49,0.823,0.81675,0.8292499999999999,0.177,0.17075,0.18325
50,0.771,0.759,0.77625,0.229,0.22375,0.241
51,0.8654999999999999,0.859,0.872,0.1345,0.128,0.141
52,0.8714999999999999,0.86375,0.87925,0.1285,0.12075,0.13625
53,0.876,0.86875,0.88125,0.124,0.11875,0.13125
54,0.864,0.857,0.872,0.136,0.128,0.143
55,0.824,0.817,0.834,0.176,0.166,0.183
56,0.773,0.7655000000000001,0.784,0.227,0.216,0.23450000000000001
57,0.87,0.859,0.87525,0.13,0.12475,0.141
58,0.8765000000000001,0.868,0.883,0.1235,0.117,0.132
59,0.882,0.876,0.89025,0.118,0.10975,0.124
60,0.8665,0.86,0.87725,0.1335,0.12275,0.14
61,0.8245,0.818,0.8342499999999999,0.1755,0.16575,0.182
62,0.774,0.76675,0.783,0.226,0.217,0.23325
63,0.869,0.86275,0.877,0.131,0.123,0.13725
64,0.8714999999999999,0.864,0.88125,0.1285,0.11875,0.136
